epoch,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.4,1.6453357934951782,0.00019230769230769233,1.5329791069030763,5,,,,,
0.8,1.3446811437606812,0.0001826923076923077,1.0330191612243653,10,,,,,
1.16,1.110186219215393,0.0001730769230769231,0.6745668411254883,15,,,,,
1.56,1.0179989337921143,0.00016346153846153846,0.4223137855529785,20,,,,,
1.96,0.871343731880188,0.00015384615384615385,0.2848442316055298,25,,,,,
2.32,0.9963048696517944,0.00014423076923076924,0.22756454944610596,30,,,,,
2.7199999999999998,1.4301784038543701,0.00013461538461538464,0.18631047010421753,35,,,,,
3.08,0.9585100412368774,0.000125,0.10431480407714844,40,,,,,
3.48,0.8011233806610107,0.00011538461538461538,0.10109442472457886,45,,,,,
3.88,0.8641064763069153,0.00010576923076923077,0.08096143007278442,50,,,,,
4.24,1.1972808837890625,9.615384615384617e-05,0.0700084388256073,55,,,,,
4.64,1.182875156402588,8.653846153846155e-05,0.05884448289871216,60,,,,,
5.0,1.1485905647277832,7.692307692307693e-05,0.03427766561508179,65,,,,,
5.4,0.8526560068130493,6.730769230769232e-05,0.042641013860702515,70,,,,,
5.8,0.5551126003265381,5.769230769230769e-05,0.028622263669967653,75,,,,,
6.16,0.7408217787742615,4.8076923076923084e-05,0.02738143801689148,80,,,,,
6.5600000000000005,0.6864609718322754,3.846153846153846e-05,0.02515271306037903,85,,,,,
6.96,0.554495632648468,2.8846153846153845e-05,0.01860624849796295,90,,,,,
7.32,0.4331573247909546,1.923076923076923e-05,0.020852142572402955,95,,,,,
7.72,0.9588265419006348,9.615384615384616e-06,0.01952809691429138,100,,,,,
8.0,,,,104,1764455822131200.0,0.24083073981679404,520.4031,1.537,0.2
